epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1324,1.57528,3.32619,1.65734,0.01,1,0.995,0.85172,0.54382,2.24198,0.85775,0.00024,0.00024,0.00024
2,100.842,1.2908,2.28483,1.35282,0.01,1,0.995,0.70371,0.66116,2.39545,1.01394,0.0004505,0.0004505,0.0004505
3,148.552,1.23465,2.07387,1.2892,0.01,1,0.83,0.66472,0.69307,2.24506,0.92993,0.00060952,0.00060952,0.00060952
4,205.953,1.17859,1.8494,1.22771,0.35235,1,0.995,0.66456,0.70004,2.16645,0.9553,0.00071706,0.00071706,0.00071706
5,256.123,1.21574,1.93492,1.30966,0.94508,1,0.995,0.76444,0.95519,1.70592,1.10281,0.00077312,0.00077312,0.00077312
6,300.825,1.16519,1.74602,1.22001,0.00667,0.66667,0.06446,0.03571,1.75137,3.0464,2.18873,0.0007777,0.0007777,0.0007777
7,346.665,1.17092,1.81493,1.25034,0.20887,0.33333,0.12786,0.1134,0.9498,3.05988,1.49108,0.0007308,0.0007308,0.0007308
8,391.169,1.06836,1.65212,1.16556,0.98465,1,0.995,0.82961,0.61018,0.9389,0.996,0.000614,0.000614,0.000614
9,436.671,1.06644,1.54822,1.18305,0.98339,1,0.995,0.90722,0.54427,0.8054,0.86671,0.000416,0.000416,0.000416
10,481.397,1.04622,1.48465,1.15736,0.98343,1,0.995,0.92911,0.40897,0.73642,0.8203,0.000218,0.000218,0.000218
